NODE_ID,month_year,MW
ALAMT2G_7_B1,Sep-22,128.1558448
ALAMT2G_7_N002,Aug-19,36.53944537
ALAMT2G_7_N002,Sep-19,41.69682643
ALAMT2G_7_N002,Oct-19,39.0766498
ALAMT2G_7_N002,Nov-19,44.81618017
ALAMT2G_7_N002,Dec-19,42.61879792
ALAMT2G_7_N002,Jan-20,36.60952868
ALAMT2G_7_N002,Feb-20,28.31492616
ALAMT2G_7_N002,Mar-20,26.27220718
ALAMT2G_7_N002,Apr-20,19.92185276
ALAMT2G_7_N002,May-20,18.93279383
ALAMT2G_7_N002,Jun-20,23.63701993
ALAMT2G_7_N002,Jul-20,29.32738514
ALAMT2G_7_N002,Aug-20,80.53636811
ALAMT2G_7_N002,Sep-20,47.72466789
ALAMT2G_7_N002,Oct-20,46.16925378
ALAMT2G_7_N002,Nov-20,38.83046805
ALAMT2G_7_N002,Dec-20,41.97783274
ALAMT2G_7_N002,Jan-21,33.31195021
ALAMT2G_7_N002,Feb-21,66.59173463
ALAMT2G_7_N002,Mar-21,32.22273783
ALAMT2G_7_N002,Apr-21,31.44355353
ALAMT2G_7_N002,May-21,29.44930987
ALAMT2G_7_N002,Jun-21,51.12806775
ALAMT2G_7_N002,Jul-21,69.6564419
ALAMT2G_7_N002,Aug-21,61.05633935
ALAMT2G_7_N002,Sep-21,69.47892424
ALAMT2G_7_N002,Oct-21,58.06346879
ALAMT2G_7_N002,Nov-21,57.87504502
ALAMT2G_7_N002,Dec-21,62.2062429
ALAMT2G_7_N002,Jan-22,52.35230838
ALAMT2G_7_N002,Feb-22,44.48289847
ALAMT2G_7_N002,Mar-22,42.85727849
ALAMT2G_7_N002,Apr-22,60.01186672
ALAMT2G_7_N002,May-22,64.90180982
ALAMT2G_7_N002,Jun-22,70.91598629
ALAMT2G_7_N002,Jul-22,75.78208861
ALAMT2G_7_N002,Aug-22,106.7980869
ALAMT2G_7_N002,Sep-22,128.1558448
ALAMT3G_7_B1,Aug-19,36.5390773
ALAMT3G_7_B1,Sep-19,41.69658251
ALAMT3G_7_B1,Oct-19,39.07685945
ALAMT3G_7_B1,Nov-19,44.81633786
ALAMT3G_7_B1,Dec-19,42.61891195
ALAMT3G_7_B1,Jan-20,36.60945744
ALAMT3G_7_B1,Feb-20,28.31495016
ALAMT3G_7_B1,Mar-20,26.27219142
ALAMT3G_7_B1,Apr-20,19.92200704
ALAMT3G_7_B1,May-20,18.9329466
ALAMT3G_7_B1,Jun-20,23.63721001
ALAMT3G_7_B1,Jul-20,29.32716806
ALAMT3G_7_B1,Aug-20,80.5281509
ALAMT3G_7_B1,Sep-20,47.7233203
ALAMT3G_7_B1,Oct-20,46.16908668
ALAMT3G_7_B1,Nov-20,38.79917694
ALAMT3G_7_B1,Dec-20,41.97782988
ALAMT3G_7_B1,Jan-21,33.31195324
ALAMT3G_7_B1,Feb-21,66.59163196
ALAMT3G_7_B1,Mar-21,32.22276113
ALAMT3G_7_B1,Apr-21,31.44352786
ALAMT3G_7_B1,May-21,29.44928122
ALAMT3G_7_B1,Jun-21,51.12527142
ALAMT3G_7_B1,Jul-21,69.65467817
ALAMT3G_7_B1,Aug-21,61.05472297
ALAMT3G_7_B1,Sep-21,69.47788301
ALAMT3G_7_B1,Oct-21,58.0633007
ALAMT3G_7_B1,Nov-21,57.89716126
ALAMT3G_7_B1,Dec-21,62.20518825
ALAMT3G_7_B1,Jan-22,52.35233092
ALAMT3G_7_B1,Feb-22,44.48297082
ALAMT3G_7_B1,Mar-22,42.85735699
ALAMT3G_7_B1,Apr-22,60.01191319
ALAMT3G_7_B1,May-22,64.90138513
ALAMT3G_7_B1,Jun-22,70.91470841
ALAMT3G_7_B1,Jul-22,75.78163246
ALAMT3G_7_B1,Aug-22,106.6808053
ALAMT3G_7_B1,Sep-22,128.1407274
ALAMT3G_7_N002,Aug-19,36.5390773
ALAMT3G_7_N002,Sep-19,41.69658251
ALAMT3G_7_N002,Oct-19,39.07685945
ALAMT3G_7_N002,Nov-19,44.81633786
ALAMT3G_7_N002,Dec-19,42.61891195
ALAMT3G_7_N002,Jan-20,36.60945744
ALAMT3G_7_N002,Feb-20,28.31495016
ALAMT3G_7_N002,Mar-20,26.27219142
ALAMT3G_7_N002,Apr-20,19.92200704
ALAMT3G_7_N002,May-20,18.9329466
ALAMT3G_7_N002,Jun-20,23.63721001
ALAMT3G_7_N002,Jul-20,29.32716806
ALAMT3G_7_N002,Aug-20,80.5281509
ALAMT3G_7_N002,Sep-20,47.7233203
ALAMT3G_7_N002,Oct-20,46.16908668
ALAMT3G_7_N002,Nov-20,38.8304901
ALAMT3G_7_N002,Dec-20,41.97782988
ALAMT3G_7_N002,Jan-21,33.31195324
ALAMT3G_7_N002,Feb-21,66.59163196
ALAMT3G_7_N002,Mar-21,32.22276113
ALAMT3G_7_N002,Apr-21,31.44352786
ALAMT3G_7_N002,May-21,29.44928122
ALAMT3G_7_N002,Jun-21,51.12527142
ALAMT3G_7_N002,Jul-21,69.65467817
ALAMT3G_7_N002,Aug-21,61.05472297
ALAMT3G_7_N002,Sep-21,69.47788301
ALAMT3G_7_N002,Oct-21,58.0633007
ALAMT3G_7_N002,Nov-21,57.87510863
ALAMT3G_7_N002,Dec-21,62.20628153
ALAMT3G_7_N002,Jan-22,52.35233092
ALAMT3G_7_N002,Feb-22,44.48297082
ALAMT3G_7_N002,Mar-22,42.85735699
ALAMT3G_7_N002,Apr-22,60.01191319
ALAMT3G_7_N002,May-22,64.90138513
ALAMT3G_7_N002,Jun-22,70.91470841
ALAMT3G_7_N002,Jul-22,75.78163246
ALAMT3G_7_N002,Aug-22,106.6808053
ALAMT3G_7_N002,Sep-22,128.1407274
ALAMT4G_7_B1,Aug-19,36.53913173
ALAMT4G_7_B1,Sep-19,41.69623832
ALAMT4G_7_B1,Oct-19,39.07640714
ALAMT4G_7_B1,Nov-19,44.81590689
ALAMT4G_7_B1,Dec-19,42.61884286
ALAMT4G_7_B1,Jan-20,36.60916485
ALAMT4G_7_B1,Feb-20,28.31492616
ALAMT4G_7_B1,Mar-20,26.27218487
ALAMT4G_7_B1,Apr-20,19.92190427
ALAMT4G_7_B1,May-20,18.93280938
ALAMT4G_7_B1,Jun-20,23.63701993
ALAMT4G_7_B1,Jul-20,29.32738514
ALAMT4G_7_B1,Aug-20,80.53469176
ALAMT4G_7_B1,Sep-20,47.72299017
ALAMT4G_7_B1,Oct-20,46.16827511
ALAMT4G_7_B1,Nov-20,38.7723564
ALAMT4G_7_B1,Dec-20,41.97771151
ALAMT4G_7_B1,Jan-21,33.31190487
ALAMT4G_7_B1,Feb-21,66.59173073
ALAMT4G_7_B1,Mar-21,32.22273303
ALAMT4G_7_B1,Apr-21,31.44353139
ALAMT4G_7_B1,May-21,29.44931905
ALAMT4G_7_B1,Jun-21,51.12482197
ALAMT4G_7_B1,Jul-21,69.651957
ALAMT4G_7_B1,Aug-21,61.05482081
ALAMT4G_7_B1,Sep-21,69.47755432
ALAMT4G_7_B1,Oct-21,58.06329202
ALAMT4G_7_B1,Nov-21,57.87501881
ALAMT4G_7_B1,Dec-21,62.20664406
ALAMT4G_7_B1,Jan-22,52.35263293
ALAMT4G_7_B1,Feb-22,44.48302479
ALAMT4G_7_B1,Mar-22,42.85826407
ALAMT4G_7_B1,Apr-22,60.0126649
ALAMT4G_7_B1,May-22,64.90137804
ALAMT4G_7_B1,Jun-22,70.9144455
ALAMT4G_7_B1,Jul-22,75.7797216
ALAMT4G_7_B1,Aug-22,106.7927765
ALAMT4G_7_B1,Sep-22,128.1382844
ALAMT4G_7_N002,Aug-19,36.53913173
ALAMT4G_7_N002,Sep-19,41.69623832
ALAMT4G_7_N002,Oct-19,39.07640714
ALAMT4G_7_N002,Nov-19,44.81590689
ALAMT4G_7_N002,Dec-19,42.61884286
ALAMT4G_7_N002,Jan-20,36.60916485
ALAMT4G_7_N002,Feb-20,28.31492616
ALAMT4G_7_N002,Mar-20,26.27218487
ALAMT4G_7_N002,Apr-20,19.92190427
ALAMT4G_7_N002,May-20,18.93280938
ALAMT4G_7_N002,Jun-20,23.63701993
ALAMT4G_7_N002,Jul-20,29.32738514
ALAMT4G_7_N002,Aug-20,80.53469176
ALAMT4G_7_N002,Sep-20,47.72299017
ALAMT4G_7_N002,Oct-20,46.16827511
ALAMT4G_7_N002,Nov-20,38.83043231
ALAMT4G_7_N002,Dec-20,41.97771151
ALAMT4G_7_N002,Jan-21,33.31190487
ALAMT4G_7_N002,Feb-21,66.59173073
ALAMT4G_7_N002,Mar-21,32.22273303
ALAMT4G_7_N002,Apr-21,31.44353139
ALAMT4G_7_N002,May-21,29.44931905
ALAMT4G_7_N002,Jun-21,51.12482197
ALAMT4G_7_N002,Jul-21,69.651957
ALAMT4G_7_N002,Aug-21,61.05482081
ALAMT4G_7_N002,Sep-21,69.47755432
ALAMT4G_7_N002,Oct-21,58.06329202
ALAMT4G_7_N002,Nov-21,57.87501881
ALAMT4G_7_N002,Dec-21,62.20664406
ALAMT4G_7_N002,Jan-22,52.35263293
ALAMT4G_7_N002,Feb-22,44.48302479
ALAMT4G_7_N002,Mar-22,42.85826407
ALAMT4G_7_N002,Apr-22,60.0126649
ALAMT4G_7_N002,May-22,64.90137804
ALAMT4G_7_N002,Jun-22,70.9144455
