OID_,AREA,NODE_ID,TYPE
437,CA,CORONADO_6_N001,LOAD
438,CA,CORONADO_6_N002,LOAD
439,CA,CORONA_1_N001,LOAD
440,CA,CORRAL_6_N001,LOAD
441,CA,CORRAL_6_N003,LOAD
442,CA,CORSGOLD_1_N001,LOAD
443,CA,CORSGOLD_1_N003,LOAD
444,CA,CORTINA_1_N106,LOAD
445,CA,COTATI_6_N101,LOAD
446,CA,COTATI_6_N102,LOAD
447,CA,COTTLEA_2_N001,LOAD
448,CA,COTTLE_7_N001,LOAD
449,CA,COTTLE_7_N002,GEN
450,CA,COTWDPGE_1_N001,LOAD
451,CA,COTWDPGE_1_N024,GEN
452,CA,COVELO6_6_N001,LOAD
453,CA,COVERD_7_B1,GEN
454,CA,CPBORDER_7_B1,GEN
455,CA,CPCSTCN_7_B1,GEN
456,CA,CPELCAJN_7_B1,GEN
457,CA,CPESCNDO_7_A1,GEN
458,CA,CPESCNDO_7_B1,GEN
459,CA,CPLECEF_1_N001,LOAD
460,CA,CPLECEF_1_N005,LOAD
461,CA,CRBU38812_7_B1,GEN
462,CA,CRBU38812_7_B3,GEN
463,CA,CRCANAL_6_N001,LOAD
464,CA,CRCKTCOG_7_N001,GEN
465,CA,CREEDGT1_7_GN001,GEN
466,CA,CREELMAN_6_N001,LOAD
467,CA,CREELMAN_6_N004,LOAD
468,CA,CREELMAN_6_N014,LOAD
469,CA,CRESSEY_1_N001,LOAD
470,CA,CRESSEY_1_N003,GEN
471,CA,CRESTWD_6_N001,LOAD
472,CA,CRSTNTS_6_N001,LOAD
473,CA,CRUSHER_6_N001,LOAD
474,CA,CRWSLDG_6_N001,LOAD
475,CA,CRYSTLSG_6_N001,LOAD
476,CA,CSCCCA_7_B2,GEN
477,CA,CSCGNRA1_7_N101,GEN
478,CA,CSCGNRA2_7_N101,GEN
479,CA,CSTRVLLE_1_N001,LOAD
480,CA,CSTRVLLE_1_N003,GEN
481,CA,CSTRVLLE_1_N004,GEN
482,CA,CTRPKGEN_7_B1,GEN
483,CA,CURTIS1_7_N001,LOAD
484,CA,CURTISS_1_N010,GEN
485,CA,CURTISS_1_N101,LOAD
486,CA,CYMRIC_1_N001,LOAD
487,CA,CYMRIC_1_N004,GEN
488,CA,DAIRYLND_1_N001,LOAD
489,CA,DALYCTY_1_N001,LOAD
490,CA,DALYCTY_1_N005,LOAD
491,CA,DALYCTY_1_N016,GEN
492,CA,DANISHCM_1_N001,LOAD
493,CA,DAVIS_1_N001,LOAD
494,CA,DAVIS_1_N007,LOAD
495,CA,DAVIS_1_N012,LOAD
496,CA,DAVIS_1_N018,GEN
497,CA,DAVIS_1_N029,GEN
498,CA,DAVIS_1_N030,GEN
499,CA,DAWNLS_7_N001,GEN
500,CA,DECCTG1_7_B1,GEN
501,CA,DECCTG2_7_B1,GEN
502,CA,DECCTG3_7_B1,GEN
503,CA,DECPTSG_2_N001,LOAD
504,CA,DECPTSG_2_N018,LOAD
505,CA,DECSTG1_7_B1,GEN
506,CA,DEEPWATR_1_N101,LOAD
507,CA,DEEPWATR_1_N104,LOAD
508,CA,DELAMO_2_N001,LOAD
509,CA,DELAMO_2_N014,LOAD
510,CA,DELAMO_2_N022,LOAD
511,CA,DELAMO_2_N050,GEN
512,CA,DELMAR_6_N001,LOAD
513,CA,DELMAR_6_N001A,LOAD
514,CA,DELMAR_6_N005,LOAD
515,CA,DELMAR_6_N010,LOAD
516,CA,DELMAR_6_N011,LOAD
517,CA,DELMNTE_1_N010,LOAD
518,CA,DELMNTE_1_N201,LOAD
519,PACW,DELNORTE_LNODE50,LOAD
520,PACW,DELNORTE_LNODE51,LOAD
521,CA,DELTAPMP_2_N008,GEN
522,CA,DERRICK_6_N002,GEN
523,CA,DERRICK_6_N003,GEN
524,CA,DESABLA_7_B1,GEN
525,CA,DESCANSO_6_N001,LOAD
526,CA,DEVERS_1_N057,GEN
527,CA,DEVERS_1_N081,GEN
528,CA,DEVERS_1_N103,GEN
529,CA,DEVLDNPP_6_N003,LOAD
530,CA,DEVLSDN_6_N001,LOAD
531,CA,DEXZEL_1_N001,GEN
532,CA,DFS_1_N001,LOAD
533,CA,DGPAN1_7_B1,GEN
534,CA,DGVADIX_7_B1,GEN
535,CA,DIABLO1_7_B1,GEN
536,CA,DIABLO1_7_N001,LOAD
537,CA,DIABLO2_7_B1,GEN
538,CA,DIABLO2_7_N001,LOAD
539,CA,DIABLOCN_2_N001,LOAD
540,CA,DINUBAE_7_B2,GEN
541,CA,DINUBAE_7_N001,LOAD
542,CA,DINUBA_6_N001,LOAD
543,CA,DINUBA_6_N005,LOAD
544,CA,DIRYVLLE_6_N001,LOAD
545,CA,DISCOVRY_7_N002,GEN
546,CA,DIVISION_6_N001,LOAD
547,CA,DIVISION_6_N009,LOAD
548,CA,DIVVIDE_1_N001,LOAD
549,CA,DIVVIDE_1_N012,LOAD
550,CA,DIXON-J1_6_N101,LOAD
551,CA,DIXONLD_1_N001,LOAD
552,CA,DIXONLD_1_N002,LOAD
553,CA,DIXONLD_1_N008,LOAD
554,CA,DIXON_6_B1,LOAD
555,CA,DIXON_6_N002,LOAD
556,CA,DMNDSPR_1_N001,LOAD
557,CA,DMNDSPR_1_N003,LOAD
558,CA,DMTARSL_1_N001,LOAD
559,CA,DOBBINS_6_N001,LOAD
560,CA,DOLANRD_1_N001,LOAD
561,CA,DOMTAR_1_N001,LOAD
562,CA,DONNELLS_7_B1,GEN
563,NV,DONNER_LNODE07,LOAD
564,PACW,DORRIS_LNODE06,LOAD
565,CA,DOSPALS_6_N001,LOAD
566,CA,DOUBLEC_7_B1,GEN
567,CA,DRUM5_7_B1,GEN
568,CA,DSAMIGO_2_N011,GEN
569,CA,DTCHFLT1_7_B1,GEN
570,CA,DTCHFLT2_7_B1,GEN
571,CA,DUKMOSS1_7_B1,GEN
572,CA,DUKMOSS1_7_N001,LOAD
573,CA,DUKMOSS2_7_B1,GEN
574,CA,DUKMOSS2_7_N001,LOAD
575,CA,DUKMOSS3_7_B2,GEN
576,CA,DUKMOSS3_7_N001,LOAD
577,CA,DUKMOSS3_7_N002,LOAD
578,CA,DUKMOSS4_7_B1,GEN
579,CA,DUKMOSS4_7_N001,LOAD
580,CA,DUKMOSS5_7_B1,GEN
581,CA,DUKMOSS5_7_N001,LOAD
582,CA,DUKMOSS6_7_B2,GEN
583,CA,DUKMOSS6_7_N001,LOAD
